"Leeftijd referentiepersoon";"Perioden";"Regio's";"Particuliere huishoudens: samenstelling/Totaal particuliere huishoudens (aantal)";"Particuliere huishoudens: samenstelling/Eenpersoonshuishouden (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Totaal meerpersoonshuishoudens (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/Totaal niet-gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/Totaal gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Eenouderhuishouden/Totaal eenouderhuishoudens (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/2 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/3 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/4 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/5 of meer personen (aantal)"
"Totaal";"2020";"Bloemendaal";9765;3074;6691;1170;4885;621;3399;1048;1493;751
"Totaal";"2020";"Boarnsterhim";;;;;;;;;;
"Totaal";"2020";"Bodegraven";;;;;;;;;;
"Totaal";"2020";"Bodegraven-Reeuwijk";14359;4112;10247;1718;7592;874;5173;1844;2085;1145
"Totaal";"2020";"Boekel";4170;1062;3108;646;2220;231;1475;527;732;374
"Totaal";"2020";"Ten Boer";;;;;;;;;;
"Totaal";"2020";"Bolsward";;;;;;;;;;
"Totaal";"2020";"Borculo";;;;;;;;;;
"Totaal";"2020";"Borger-Odoorn";11232;3140;8092;1526;5922;609;4778;1353;1456;505
"Totaal";"2020";"Born";;;;;;;;;;
"Totaal";"2020";"Borne";9738;2724;7014;1252;5137;605;3624;1215;1624;551
"Totaal";"2020";"Borsele";9505;2810;6695;1053;5079;536;3549;1219;1213;714
"Totaal";"2020";"Boskoop";;;;;;;;;;
"Totaal";"2020";"Boxmeer";12515;3701;8814;1727;6298;747;4913;1438;1779;684
"Totaal";"2020";"Boxtel";13607;4659;8948;1661;6265;965;4884;1503;1806;755
"Totaal";"2020";"Breda";88351;37657;50694;13378;30485;6304;27290;9579;9942;3883
"Totaal";"2020";"Brederwiede";;;;;;;;;;
"Totaal";"2020";"Breukelen";;;;;;;;;;
"Totaal";"2020";"Brielle";7795;2550;5245;976;3695;553;2931;1045;965;304
"Totaal";"2020";"Broekhuizen";;;;;;;;;;
"Totaal";"2020";"Bronckhorst";15479;4369;11110;2199;8077;760;6232;1842;2183;853
"Totaal";"2020";"Brummen";9036;2652;6384;1102;4710;553;3633;1107;1232;412
"Totaal";"2020";"Brunssum";13580;5237;8343;1526;5642;1129;5010;1704;1277;352
"Totaal";"2020";"Bunnik";6433;1969;4464;882;3209;356;2259;756;1054;395
"Totaal";"2020";"Bunschoten";8370;2159;6211;529;5226;434;2702;1180;1435;894
"Totaal";"2020";"Buren";11053;2834;8219;1495;6021;673;4281;1636;1569;733
"Totaal";"2020";"Bussum";;;;;;;;;;
"Totaal";"2020";"Capelle aan den IJssel";31343;12070;19273;3471;12175;3445;10274;4158;3499;1342
"Totaal";"2020";"Castricum";15778;5199;10579;2103;7486;945;5593;1836;2344;806
"Totaal";"2020";"Coevorden";15501;4904;10597;1870;7678;1008;5950;1813;2057;777
"Totaal";"2020";"Cranendonck";8896;2592;6304;1237;4489;541;3510;1102;1267;425
"Totaal";"2020";"Cromstrijen";;;;;;;;;;
"Totaal";"2020";"Cuijk";11024;3513;7511;1582;5142;748;4068;1341;1517;585
"Totaal";"2020";"Culemborg";12614;4226;8388;1692;5722;925;4250;1626;1749;763
"Totaal";"2020";"Dalfsen";11609;3134;8475;1310;6556;569;4293;1360;1827;995
"Totaal";"2020";"Dantumadeel";;;;;;;;;;
"Totaal";"2020";"Dantumadiel";7782;2292;5490;829;4204;435;2765;1015;1122;588
"Totaal";"2020";"Delft";58852;33625;25227;6787;14449;3555;14640;4720;4267;1600
"Totaal";"2020";"Delfzijl";11591;4364;7227;1214;5039;926;4251;1346;1209;421
"Totaal";"2020";"Denekamp";;;;;;;;;;
